# V  S(pi,pi)  N(pi,pi)  phase
0.0000  0.35224584  0.00000000  SDW
0.1053  0.34936841  0.00000000  SDW
0.2105  0.34650885  0.00000000  SDW
0.3158  0.34367170  0.00000000  CDW
0.4211  0.34086122  0.00000000  SDW
0.5263  0.33808144  0.00000000  SDW
0.6316  0.33533605  0.00000000  SDW
0.7368  0.33262843  0.00000000  SDW
0.8421  0.32996163  0.00000000  SDW
0.9474  0.32733832  0.00000000  SDW
1.0526  0.00000000  0.68424924  CDW
1.1579  0.00000000  0.74178100  CDW
1.2632  0.00000000  0.78869318  CDW
1.3684  0.00000000  0.82568154  CDW
1.4737  0.00000000  0.85460506  CDW
1.5789  0.00000000  0.87732990  CDW
1.6842  0.00000000  0.89536747  CDW
1.7895  0.00000000  0.90985568  CDW
1.8947  0.00000000  0.92163229  CDW
2.0000  0.00000000  0.93131328  CDW
